tenure,Contract,InternetService,MonthlyCharges,TechSupport,PaymentMethod,Churn_Probability,Churn
1,Month-to-month,Fiber optic,100.8,No,Electronic check,0.9513703047007224,1
1,Month-to-month,Fiber optic,101.45,No,Electronic check,0.944559661074327,1
1,Month-to-month,Fiber optic,90.6,No,Electronic check,0.9354193645988017,1
1,Month-to-month,Fiber optic,95.1,No,Electronic check,0.9283466159174002,1
1,Month-to-month,Fiber optic,100.25,No,Credit card (automatic),0.9274581143245871,1
1,Month-to-month,Fiber optic,91.3,No,Electronic check,0.9233439131179699,1
1,Month-to-month,Fiber optic,93.55,No,Electronic check,0.9223390773434685,1
1,Month-to-month,Fiber optic,94.0,No,Electronic check,0.9223390773434685,1
1,Month-to-month,Fiber optic,99.75,No,Electronic check,0.9194950152793806,1
1,Month-to-month,Fiber optic,94.6,No,Electronic check,0.9185874116316604,1
1,Month-to-month,Fiber optic,95.45,No,Electronic check,0.9185874116316604,1
1,Month-to-month,Fiber optic,90.75,No,Electronic check,0.9129672183363511,1
1,Month-to-month,Fiber optic,90.55,No,Electronic check,0.9129672183363511,1
1,Month-to-month,Fiber optic,93.85,No,Electronic check,0.9118393483825461,1
1,Month-to-month,Fiber optic,90.85,No,Credit card (automatic),0.9118344083702137,1
1,Month-to-month,Fiber optic,76.45,No,Electronic check,0.9102280725363302,1
10,Month-to-month,Fiber optic,100.6,No,Electronic check,0.9068681978542852,1
1,Month-to-month,Fiber optic,90.85,No,Electronic check,0.9061300193647598,1
1,Month-to-month,Fiber optic,93.3,No,Electronic check,0.9049227725187253,1
1,Month-to-month,Fiber optic,75.75,No,Electronic check,0.9046123131888504,1
1,Month-to-month,Fiber optic,79.55,No,Mailed check,0.9031080251669911,1
1,Month-to-month,Fiber optic,88.8,No,Electronic check,0.8989579256761843,1
1,Month-to-month,Fiber optic,77.15,No,Electronic check,0.8982715358379781,1
4,Month-to-month,Fiber optic,101.7,No,Electronic check,0.8970782097180587,1
10,Month-to-month,Fiber optic,98.5,No,Electronic check,0.8969585260137255,1
1,Month-to-month,Fiber optic,79.15,No,Electronic check,0.8967990319275222,1
5,Month-to-month,Fiber optic,100.5,No,Electronic check,0.8947730952033238,1
1,Month-to-month,Fiber optic,80.2,No,Mailed check,0.8943551861158231,1
3,Month-to-month,Fiber optic,105.0,No,Electronic check,0.8936140486760318,1
1,Month-to-month,Fiber optic,85.05,No,Electronic check,0.8923437496243464,1
1,Month-to-month,Fiber optic,85.7,No,Electronic check,0.891435225442372,1
1,Month-to-month,Fiber optic,86.05,No,Electronic check,0.891435225442372,1
1,Month-to-month,Fiber optic,79.2,No,Electronic check,0.8910374902837727,1
1,Month-to-month,Fiber optic,79.1,No,Electronic check,0.8910374902837727,1
3,Month-to-month,Fiber optic,101.55,No,Bank transfer (automatic),0.8869984664670494,1
1,Month-to-month,Fiber optic,94.4,No,Electronic check,0.8864607986854357,1
6,Month-to-month,Fiber optic,105.3,No,Electronic check,0.8852784132757808,1
6,Month-to-month,Fiber optic,98.25,No,Electronic check,0.8828667479220609,1
8,Month-to-month,Fiber optic,100.6,No,Electronic check,0.8824827595635132,1
11,Month-to-month,Fiber optic,99.55,No,Electronic check,0.8816466698007884,1
8,Month-to-month,Fiber optic,99.65,No,Electronic check,0.8801364079937919,1
4,Month-to-month,Fiber optic,100.2,No,Electronic check,0.8790689135996347,1
4,Month-to-month,Fiber optic,94.3,No,Electronic check,0.8790568401616982,1
1,Month-to-month,Fiber optic,85.0,No,Electronic check,0.8783236519122778,1
2,Month-to-month,Fiber optic,94.2,No,Bank transfer (automatic),0.878090665467588,1
1,Month-to-month,Fiber optic,79.7,No,Electronic check,0.877884461753827,1
1,Month-to-month,Fiber optic,79.25,No,Electronic check,0.877884461753827,1
1,Month-to-month,Fiber optic,80.25,No,Electronic check,0.8768707512127469,1
1,Month-to-month,Fiber optic,79.95,No,Electronic check,0.8768707512127469,1
1,Month-to-month,Fiber optic,79.5,No,Electronic check,0.8768707512127469,1
1,Month-to-month,Fiber optic,79.55,No,Electronic check,0.8768707512127469,1
1,Month-to-month,Fiber optic,79.05,No,Electronic check,0.8768707512127469,1
1,Month-to-month,Fiber optic,78.95,No,Electronic check,0.8768707512127469,1
1,Month-to-month,Fiber optic,79.65,No,Electronic check,0.8768707512127469,1
1,Month-to-month,Fiber optic,95.65,No,Mailed check,0.8767581958559185,1
7,Month-to-month,Fiber optic,99.25,No,Electronic check,0.8763204931682271,1
11,Month-to-month,Fiber optic,100.75,No,Electronic check,0.8758128557943133,1
1,Month-to-month,Fiber optic,85.45,No,Mailed check,0.875503036826872,1
9,Month-to-month,Fiber optic,100.5,No,Electronic check,0.875229843248584,1
4,Month-to-month,Fiber optic,97.95,No,Electronic check,0.8750168782570872,1
1,Month-to-month,Fiber optic,86.6,No,Electronic check,0.8747101150836004,1
1,Month-to-month,Fiber optic,84.65,No,Mailed check,0.8744723842168536,1
10,Month-to-month,Fiber optic,98.5,Yes,Electronic check,0.8740796677882693,1
1,Month-to-month,Fiber optic,79.35,No,Bank transfer (automatic),0.8740212867784156,1
1,Month-to-month,Fiber optic,84.6,No,Electronic check,0.8723679582900565,0
2,Month-to-month,Fiber optic,93.85,No,Electronic check,0.8712372550669212,1
1,Month-to-month,Fiber optic,79.15,No,Mailed check,0.870226174489712,0
3,Month-to-month,Fiber optic,96.6,No,Electronic check,0.8701064560087091,1
1,Month-to-month,Fiber optic,73.55,No,Electronic check,0.8698379223968397,1
1,Month-to-month,Fiber optic,74.7,No,Electronic check,0.8698379223968397,1
1,Month-to-month,Fiber optic,74.4,No,Electronic check,0.8698379223968397,1
1,Month-to-month,Fiber optic,75.35,No,Electronic check,0.8698379223968397,1
1,Month-to-month,Fiber optic,74.2,No,Electronic check,0.8698379223968397,1
1,Month-to-month,Fiber optic,73.65,No,Electronic check,0.8698379223968397,1
1,Month-to-month,Fiber optic,74.4,No,Electronic check,0.8698379223968397,1
1,Month-to-month,Fiber optic,74.45,No,Electronic check,0.8698379223968397,1
1,Month-to-month,DSL,36.45,No,Electronic check,0.8696513353957896,1
1,Month-to-month,Fiber optic,79.6,No,Electronic check,0.8690518326745115,1
2,Month-to-month,Fiber optic,95.15,No,Electronic check,0.8687406059506743,1
1,Month-to-month,Fiber optic,85.0,No,Electronic check,0.8686432372017135,1
1,Month-to-month,Fiber optic,75.7,No,Electronic check,0.8677678379185799,1
1,Month-to-month,Fiber optic,79.35,No,Electronic check,0.8676090632324918,1
11,Month-to-month,Fiber optic,99.5,No,Electronic check,0.8653734168870079,1
1,Month-to-month,Fiber optic,80.05,No,Mailed check,0.8645783655288843,1
1,Month-to-month,Fiber optic,69.25,No,Electronic check,0.8619226828594748,1
1,Month-to-month,Fiber optic,69.6,No,Electronic check,0.8619226828594748,1
1,Month-to-month,Fiber optic,69.95,No,Electronic check,0.8619226828594748,1
1,Month-to-month,Fiber optic,69.6,No,Electronic check,0.8619226828594748,1
1,Month-to-month,Fiber optic,69.55,No,Electronic check,0.8619226828594748,1
1,Month-to-month,Fiber optic,69.85,No,Electronic check,0.8619226828594748,1
1,Month-to-month,Fiber optic,69.65,No,Electronic check,0.8619226828594748,1
4,Month-to-month,Fiber optic,95.45,No,Electronic check,0.861837244235048,1
2,Month-to-month,Fiber optic,94.0,No,Electronic check,0.8611576815029491,1
1,Month-to-month,Fiber optic,76.4,No,Mailed check,0.8610361657626359,1
2,Month-to-month,Fiber optic,88.55,No,Electronic check,0.8604668815887238,1
1,Month-to-month,Fiber optic,90.55,No,Electronic check,0.8597795325119156,1
1,Month-to-month,Fiber optic,90.6,No,Electronic check,0.8597795325119156,1
3,Month-to-month,Fiber optic,95.2,No,Electronic check,0.8591877910718736,1
1,Month-to-month,Fiber optic,102.45,No,Electronic check,0.8580697337115383,1
7,Month-to-month,Fiber optic,99.8,No,Electronic check,0.8576507667736964,1
2,Month-to-month,Fiber optic,91.4,No,Electronic check,0.8575870345498802,1
1,Month-to-month,Fiber optic,81.95,No,Electronic check,0.8569214852935635,1
1,Month-to-month,Fiber optic,81.1,No,Electronic check,0.8569214852935635,1
1,Month-to-month,Fiber optic,80.8,No,Electronic check,0.8569214852935635,1
5,Month-to-month,Fiber optic,93.9,No,Mailed check,0.856518154459078,1
2,Month-to-month,Fiber optic,84.05,No,Electronic check,0.8562526234373266,0
1,Month-to-month,Fiber optic,80.55,No,Electronic check,0.8557623475492826,0
1,Month-to-month,Fiber optic,80.55,No,Electronic check,0.8557623475492826,1
1,Month-to-month,Fiber optic,85.45,No,Electronic check,0.8540409532324537,1
1,Month-to-month,Fiber optic,84.85,No,Electronic check,0.8540409532324537,1
7,Month-to-month,Fiber optic,101.95,No,Electronic check,0.8537181341693924,1
1,Month-to-month,Fiber optic,80.85,No,Mailed check,0.8536873864540057,1
1,Month-to-month,Fiber optic,75.1,No,Electronic check,0.8533685027920024,0
1,Month-to-month,Fiber optic,74.9,No,Electronic check,0.8533685027920024,1
1,Month-to-month,Fiber optic,74.95,No,Electronic check,0.8533685027920024,1
1,Month-to-month,Fiber optic,75.45,No,Electronic check,0.8533685027920024,1
1,Month-to-month,Fiber optic,75.3,No,Electronic check,0.8533685027920024,1
1,Month-to-month,Fiber optic,75.1,No,Electronic check,0.8533685027920024,1
1,Month-to-month,Fiber optic,74.5,No,Electronic check,0.8533685027920024,1
1,Month-to-month,Fiber optic,86.0,No,Electronic check,0.8531347798276648,1
7,Month-to-month,Fiber optic,94.1,No,Electronic check,0.8514612299479222,0
4,Month-to-month,Fiber optic,85.95,No,Electronic check,0.8512205363958041,1
